Close,Company,Rolling ATH,Drawdown Percentage,5 to 10 percent,greater than 20 percent
60.95361328125,Coca-Cola,60.95361328125,0.0,False,False
60.86490249633789,Coca-Cola,60.95361328125,-0.15,False,False
59.938377380371094,Coca-Cola,60.95361328125,-1.69,False,False
59.96794509887695,Coca-Cola,60.95361328125,-1.64,False,False
60.825477600097656,Coca-Cola,60.95361328125,-0.21,False,False
60.19464874267578,Coca-Cola,60.95361328125,-1.26,False,False
60.76633834838867,Coca-Cola,60.95361328125,-0.31,False,False
61.1507453918457,Coca-Cola,61.1507453918457,0.0,False,False
60.884613037109375,Coca-Cola,61.1507453918457,-0.44,False,False
61.35773849487305,Coca-Cola,61.35773849487305,0.0,False,False
61.81114196777344,Coca-Cola,61.81114196777344,0.0,False,False
61.52529525756836,Coca-Cola,61.81114196777344,-0.46,False,False
60.89447021484375,Coca-Cola,61.81114196777344,-1.51,False,False
60.64805221557617,Coca-Cola,61.81114196777344,-1.92,False,False
61.03246307373047,Coca-Cola,61.81114196777344,-1.28,False,False
62.95451354980469,Coca-Cola,62.95451354980469,0.0,False,False
61.46615982055664,Coca-Cola,62.95451354980469,-2.42,False,False
61.92942428588867,Coca-Cola,62.95451354980469,-1.66,False,False
63.13193893432617,Coca-Cola,63.13193893432617,0.0,False,False
62.570106506347656,Coca-Cola,63.13193893432617,-0.9,False,False
62.44196701049805,Coca-Cola,63.13193893432617,-1.1,False,False
61.77171325683594,Coca-Cola,63.13193893432617,-2.2,False,False
62.21526336669922,Coca-Cola,63.13193893432617,-1.47,False,False
62.45182418823242,Coca-Cola,63.13193893432617,-1.09,False,False
62.92494583129883,Coca-Cola,63.13193893432617,-0.33,False,False
63.6247673034668,Coca-Cola,63.6247673034668,0.0,False,False
66.63105010986328,Coca-Cola,66.63105010986328,0.0,False,False
67.72513580322266,Coca-Cola,67.72513580322266,0.0,False,False
68.50382232666016,Coca-Cola,68.50382232666016,0.0,False,False
67.88284301757812,Coca-Cola,68.50382232666016,-0.91,False,False
68.06027221679688,Coca-Cola,68.50382232666016,-0.65,False,False
69.06564331054688,Coca-Cola,69.06564331054688,0.0,False,False
69.03607940673828,Coca-Cola,69.06564331054688,-0.04,False,False
70.3272933959961,Coca-Cola,70.3272933959961,0.0,False,False
69.57818603515625,Coca-Cola,70.3272933959961,-1.08,False,False
70.46529388427734,Coca-Cola,70.46529388427734,0.0,False,False
69.78518676757812,Coca-Cola,70.46529388427734,-0.97,False,False
69.85417938232422,Coca-Cola,70.46529388427734,-0.87,False,False
70.1893081665039,Coca-Cola,70.46529388427734,-0.39,False,False
71.28339385986328,Coca-Cola,71.28339385986328,0.0,False,False
69.18392944335938,Coca-Cola,71.28339385986328,-3.03,False,False
69.07550811767578,Coca-Cola,71.28339385986328,-3.2,False,False
69.45005798339844,Coca-Cola,71.28339385986328,-2.64,False,False
70.4061508178711,Coca-Cola,71.28339385986328,-1.25,False,False
70.42586517333984,Coca-Cola,71.28339385986328,-1.22,False,False
70.02174377441406,Coca-Cola,71.28339385986328,-1.8,False,False
68.93751525878906,Coca-Cola,71.28339385986328,-3.4,False,False
68.6220932006836,Coca-Cola,71.28339385986328,-3.88,False,False
68.67174530029297,Coca-Cola,71.28339385986328,-3.8,False,False
69.62496948242188,Coca-Cola,71.28339385986328,-2.38,False,False
68.89019012451172,Coca-Cola,71.28339385986328,-3.47,False,False
68.7908935546875,Coca-Cola,71.28339385986328,-3.62,False,False
69.21785736083984,Coca-Cola,71.28339385986328,-2.98,False,False
68.1852035522461,Coca-Cola,71.28339385986328,-4.54,False,False
68.46322631835938,Coca-Cola,71.28339385986328,-4.12,False,False
68.32421112060547,Coca-Cola,71.28339385986328,-4.33,False,False
69.52566528320312,Coca-Cola,71.28339385986328,-2.53,False,False
70.24058532714844,Coca-Cola,71.28339385986328,-1.48,False,False
69.87320709228516,Coca-Cola,71.28339385986328,-2.02,False,False
71.1143798828125,Coca-Cola,71.28339385986328,-0.24,False,False
71.36261749267578,Coca-Cola,71.36261749267578,0.0,False,False
70.82642364501953,Coca-Cola,71.36261749267578,-0.76,False,False
72.66336059570312,Coca-Cola,72.66336059570312,0.0,False,False
69.43630981445312,Coca-Cola,72.66336059570312,-4.65,False,False
67.88732147216797,Coca-Cola,72.66336059570312,-7.04,True,False
67.93696594238281,Coca-Cola,72.66336059570312,-6.96,True,False
69.45616149902344,Coca-Cola,72.66336059570312,-4.62,False,False
70.26045227050781,Coca-Cola,72.66336059570312,-3.42,False,False
70.92572021484375,Coca-Cola,72.66336059570312,-2.45,False,False
71.93851470947266,Coca-Cola,72.66336059570312,-1.01,False,False
71.3526840209961,Coca-Cola,72.66336059570312,-1.84,False,False
71.1739501953125,Coca-Cola,72.66336059570312,-2.09,False,False
72.48463439941406,Coca-Cola,72.66336059570312,-0.25,False,False
72.25625610351562,Coca-Cola,72.66336059570312,-0.56,False,False
73.37828063964844,Coca-Cola,73.37828063964844,0.0,False,False
72.78251647949219,Coca-Cola,73.37828063964844,-0.82,False,False
72.00801849365234,Coca-Cola,73.37828063964844,-1.9,False,False
71.40233612060547,Coca-Cola,73.37828063964844,-2.77,False,False
71.2831802368164,Coca-Cola,73.37828063964844,-2.94,False,False
71.83921813964844,Coca-Cola,73.37828063964844,-2.14,False,False
72.03781127929688,Coca-Cola,73.37828063964844,-1.86,False,False
70.78670501708984,Coca-Cola,73.37828063964844,-3.66,False,False
71.1441650390625,Coca-Cola,73.37828063964844,-3.14,False,False
71.19380950927734,Coca-Cola,73.37828063964844,-3.07,False,False
71.21366882324219,Coca-Cola,73.37828063964844,-3.04,False,False
71.88887023925781,Coca-Cola,73.37828063964844,-2.07,False,False
70.66754913330078,Coca-Cola,73.37828063964844,-3.84,False,False
70.02214050292969,Coca-Cola,73.37828063964844,-4.79,False,False
69.03913116455078,Coca-Cola,73.37828063964844,-6.29,True,False
68.47315216064453,Coca-Cola,73.37828063964844,-7.16,True,False
68.67174530029297,Coca-Cola,73.37828063964844,-6.85,True,False
71.10444641113281,Coca-Cola,73.37828063964844,-3.2,False,False
71.49169158935547,Coca-Cola,73.37828063964844,-2.64,False,False
71.42218780517578,Coca-Cola,73.37828063964844,-2.74,False,False
71.18388366699219,Coca-Cola,73.37828063964844,-3.08,False,False
71.3427505493164,Coca-Cola,73.37828063964844,-2.85,False,False
70.63776397705078,Coca-Cola,73.37828063964844,-3.88,False,False
71.26331329345703,Coca-Cola,73.37828063964844,-2.97,False,False
71.27324676513672,Coca-Cola,73.37828063964844,-2.95,False,False
70.64769744873047,Coca-Cola,73.37828063964844,-3.87,False,False
70.98529052734375,Coca-Cola,73.37828063964844,-3.37,False,False
71.59098815917969,Coca-Cola,73.37828063964844,-2.5,False,False
71.49169158935547,Coca-Cola,73.37828063964844,-2.64,False,False
70.65763092041016,Coca-Cola,73.37828063964844,-3.85,False,False
70.86614227294922,Coca-Cola,73.37828063964844,-3.54,False,False
70.40939331054688,Coca-Cola,73.37828063964844,-4.22,False,False
70.84628295898438,Coca-Cola,73.37828063964844,-3.57,False,False
71.26331329345703,Coca-Cola,73.37828063964844,-2.97,False,False
71.83921813964844,Coca-Cola,73.37828063964844,-2.14,False,False
71.56119537353516,Coca-Cola,73.37828063964844,-2.54,False,False
71.72999572753906,Coca-Cola,73.37828063964844,-2.3,False,False
71.0199966430664,Coca-Cola,73.37828063964844,-3.32,False,False
70.5199966430664,Coca-Cola,73.37828063964844,-4.05,False,False
69.62000274658203,Coca-Cola,73.37828063964844,-5.4,True,False
69.20999908447266,Coca-Cola,73.37828063964844,-6.02,True,False
68.83999633789062,Coca-Cola,73.37828063964844,-6.59,True,False
69.73999786376953,Coca-Cola,73.37828063964844,-5.22,True,False
168.2769012451172,GE Aerospace,168.2769012451172,0.0,False,False
171.64065551757812,GE Aerospace,171.64065551757812,0.0,False,False
172.12974548339844,GE Aerospace,172.12974548339844,0.0,False,False
