Date,Close,Rolling ATH,ATH,Drawdown Percentage
1957-03-04,44.060001373291016,44.060001373291016,True,0.0
1957-03-05,44.220001220703125,44.220001220703125,True,0.0
1957-03-06,44.22999954223633,44.22999954223633,True,0.0
1957-03-07,44.209999084472656,44.22999954223633,False,-0.05
1957-03-08,44.06999969482422,44.22999954223633,False,-0.36
1957-03-11,43.779998779296875,44.22999954223633,False,-1.03
1957-03-12,43.75,44.22999954223633,False,-1.1
1957-03-13,44.040000915527344,44.22999954223633,False,-0.43
1957-03-14,44.06999969482422,44.22999954223633,False,-0.36
1957-03-15,44.04999923706055,44.22999954223633,False,-0.41
1957-03-18,43.849998474121094,44.22999954223633,False,-0.87
1957-03-19,44.040000915527344,44.22999954223633,False,-0.43
1957-03-20,44.099998474121094,44.22999954223633,False,-0.29
1957-03-21,44.11000061035156,44.22999954223633,False,-0.27
1957-03-22,44.060001373291016,44.22999954223633,False,-0.39
1957-03-25,43.880001068115234,44.22999954223633,False,-0.8
1957-03-26,43.90999984741211,44.22999954223633,False,-0.73
1957-03-27,44.09000015258789,44.22999954223633,False,-0.32
1957-03-28,44.18000030517578,44.22999954223633,False,-0.11
1957-03-29,44.11000061035156,44.22999954223633,False,-0.27
1957-04-01,44.13999938964844,44.22999954223633,False,-0.2
1957-04-02,44.41999816894531,44.41999816894531,True,0.0
1957-04-03,44.540000915527344,44.540000915527344,True,0.0
1957-04-04,44.439998626708984,44.540000915527344,False,-0.23
1957-04-05,44.4900016784668,44.540000915527344,False,-0.11
1957-04-08,44.38999938964844,44.540000915527344,False,-0.34
1957-04-09,44.790000915527344,44.790000915527344,True,0.0
1957-04-10,44.97999954223633,44.97999954223633,True,0.0
1957-04-11,44.97999954223633,44.97999954223633,True,0.0
1957-04-12,44.97999954223633,44.97999954223633,True,0.0
1957-04-15,44.95000076293945,44.97999954223633,False,-0.07
1957-04-16,45.02000045776367,45.02000045776367,True,0.0
1957-04-17,45.08000183105469,45.08000183105469,True,0.0
1957-04-18,45.40999984741211,45.40999984741211,True,0.0
1957-04-22,45.47999954223633,45.47999954223633,True,0.0
1957-04-23,45.650001525878906,45.650001525878906,True,0.0
1957-04-24,45.720001220703125,45.720001220703125,True,0.0
1957-04-25,45.560001373291016,45.720001220703125,False,-0.35
1957-04-26,45.5,45.720001220703125,False,-0.48
1957-04-29,45.72999954223633,45.72999954223633,True,0.0
1957-04-30,45.7400016784668,45.7400016784668,True,0.0
1957-05-01,46.02000045776367,46.02000045776367,True,0.0
1957-05-02,46.38999938964844,46.38999938964844,True,0.0
1957-05-03,46.34000015258789,46.38999938964844,False,-0.11
1957-05-06,46.27000045776367,46.38999938964844,False,-0.26
1957-05-07,46.130001068115234,46.38999938964844,False,-0.56
1957-05-08,46.310001373291016,46.38999938964844,False,-0.17
1957-05-09,46.36000061035156,46.38999938964844,False,-0.06
1957-05-10,46.59000015258789,46.59000015258789,True,0.0
1957-05-13,46.880001068115234,46.880001068115234,True,0.0
1957-05-14,46.66999816894531,46.880001068115234,False,-0.45
1957-05-15,46.83000183105469,46.880001068115234,False,-0.11
1957-05-16,47.02000045776367,47.02000045776367,True,0.0
1957-05-17,47.150001525878906,47.150001525878906,True,0.0
1957-05-20,47.349998474121094,47.349998474121094,True,0.0
1957-05-21,47.33000183105469,47.349998474121094,False,-0.04
1957-05-22,47.13999938964844,47.349998474121094,False,-0.45
1957-05-23,47.150001525878906,47.349998474121094,False,-0.42
1957-05-24,47.209999084472656,47.349998474121094,False,-0.3
1957-05-27,46.779998779296875,47.349998474121094,False,-1.22
1957-05-28,46.689998626708984,47.349998474121094,False,-1.41
1957-05-29,47.11000061035156,47.349998474121094,False,-0.51
1957-05-31,47.43000030517578,47.43000030517578,True,0.0
1957-06-03,47.369998931884766,47.43000030517578,False,-0.13
1957-06-04,47.279998779296875,47.43000030517578,False,-0.32
1957-06-05,47.27000045776367,47.43000030517578,False,-0.34
1957-06-06,47.79999923706055,47.79999923706055,True,0.0
